faculty,institution
"Bacon, Leonard A.;University of Mississippi;1973","California State University, Bakersfield"
"Badarinathi, Ravija;University of Georgia;1983",University of North Carolina Wilmington
"Badauld, Stephen;University of California, Berkeley;1978",Brigham Young University
"Badawi, Ibrahim M.;New York University;1977",St. John's University
"Badgett, Lee D.;Yale University;1971",Virginia Military Institute
"Bae, Byung-Han;Keimyung;1989",Kyungpook National University
"Baggett, Walter O.;University of North Carolina;1973",Manhattan College
"Bagi, Sukhwinder;Vanderbilt University;1987",Bloomsburg University of Pennsylvania
"Bagley, Ron N.;University of Minnesota;1970",Sultan Qaboos University
"Baglia, David S.;Cleveland State University;1999",Grove City College
"Bagnani, Elizabeth Strock;University of Massachusetts;1986",Boston College
"Bahr, Kevin;University of Wisconsin, Milwaukee;1992","University of Wisconsin, Stevens Point"
"Baigent, Glenn;Kent State University;1997",Long Island University
"Bailey, Duncan;Virginia Polytechnic Institute and State University;1970","University of South Carolina, Spartanburg"
"Bailey, Jessica M.",Virginia Union University
"Bailey, Jessica M.;University of Missouri;1983",Winston-Salem State University
"Bailey, Larry P.;University of Pennsylvania;1974",Rider University
"Bailey, Mary Ann;Massachusetts Institute of Technology;1974",George Washington University
"Baird, W. David;University of Oklahoma",Pepperdine University
"Baird, W. David;University of Oklahoma;1969",Pepperdine University
"Bajor, Lawrence;Michigan State University;2002",Bowling Green State University
"Baker, Dennis M.;University of California, Los Angeles;1973","California State University, Fresno"
"Baker, Diana F.;University of Oklahoma",Millsaps College
"Baker, Francis (Bud);Claremont McKenna College;1984",Wright State University
"Baker, Huel E. III;University of Florida;1988",University of North Florida
"Baker, Matthew;University of Connecticut;2000",U.S. Naval Academy
"Baker, Paul D.;Georgia State University;1974",University of West Georgia
"Baker, W. Gary;University of Nebraska;1975",Washburn University
"Baker, William G.;University of Oklahoma;1970","California State University, Los Angeles"
"Baker-Collins, Mae;Leeds University;1994",University of Leeds
"Bakir, Saad T.;Virginia Polytechnic Institute and State University;1977",Alabama State University
"Bakir, Saad;University of Virginia;1993",Alabama State University
"Baktari, Paul;West Virginia University",SUNY Potsdam
"Balbirer, Sheldon D.;University of North Carolina;1978","University of North Carolina, Greensboro"
"Balch, Michael S.;New York University;1965",University of Iowa
"Balcim, Metin;New York University;1973",Bogazici University
"Balcom, N. Jean;University of Arkansas;1991",University of Indianapolis
"Baldigo, Michael E.;Calwest University;1977",Sonoma State University
"Baldwin, Lee E.;University of North Texas;1980",University of Mary Hardin-Baylor
"Baldwin, Linda;New Mexico State University;2002",Western New Mexico University
"Baldwin, Richard;Ohio State University;1987",Cedarville University
"Baldwin, William T. Jr.;University of Kentucky;1975",Transylvania University
"Bale, Jill M.;University of Nebraska;1993",Doane College
"Balfour, B. Burton;North Carolina A&T State University;1974",North Carolina Central University
"Balgeat, Brian;Duke University;1998",Texas A&M University
"Balke, Thomas E.;University of Missouri;1970",University of Nebraska
"Balkin, Steven M.;Wayne State University;1976",Roosevelt University
"Ball, Leslie;University of Massachusetts;1975",University of Massachusetts
"Ball, Raymond J.;University of Chicago;1972",University of Chicago
"Ballantyne, A. Paul;Stanford University;1965",University of Colorado Colorado Springs
"Ballenger, Grady;University of North Carolina;1983",Stetson University
"Ballman, Richard J. Jr.;University of Iowa;1977",Augustana College
"Ballot, Michael H.;Stanford University;1973",University of the Pacific
"Balogh, Colin;University of Georgia;1991",University of Massachusetts
"Balogun, Jacob O.;Louisiana State University;1980",Fayetteville State University
"Balough, Robert S.;Northern Illinois University;1981",Clarion University of Pennsylvania
"Balsmeier, Philip W.;University of Arkansas;1973",Nicholls State University
"Banatte, Jean-Marie;University of Missouri;1977",Norfolk State University
"Bancroft, D. Stuart;University of Pennsylvania;1973",Pacific Lutheran University
"Bandera, Vladimir N.;University of California, Berkeley;1960",Temple University
"Bandyopadhayay, Taradas;Southern Methodist University;1980","University of California, Riverside"
"Bandyopadhyay, Jayanta;Texas Tech University;1973",Central Michigan University
"Banfe, Peter;George Washington University;1999",Ohio Northern University
"Banfe, Peter;University of Washington;1998",Ohio Northern University
"Banham, Richard L.;University of Texas at Austin;1984",Tennessee State University
"Banks, McRae C.;Virginia Polytechnic Institute and State University;1987",Worcester Polytechnic Institute
"Bankston, Thomas A.;University of Florida;1975",Angelo State University
"Bankston, Thomas;University of Florida;1975",Angelo State University
"Bansal, Vipul K.;University of Mississippi;1988",St. John's University
"Banz, Martha",Southern Nazarene University
"Barbee, Ronald F.;Washington State University;1993",Mesa State College
"Barber, G. Russell Jr.;University of Mississippi;1990",Mercer University at Macon
"Barbor, Sara B.;University of Kansas;1985",Winona State University
"Barcashy, Matthew;Purdue University",College of William & Mary
"Barclay, Roderick S.;Kent State University;1993",Texas A&M University–Commerce
"Bardakci, Yasemin;Western Michigan University;2004",St. Cloud State University
"Barden, Ronald S.;University of Texas at Austin;1971",Georgia State University
"Bardo, Frederic S.;University of Stirling;1988",Shippensburg University
"Barger, Peter S.;University of Illinois;1989",North Central College
"Baringer, Richard L.;G Peabdy;1969",Georgia Southwestern State University
"Barker, Ruby F.;University of North Texas;1982",Tarleton State University
"Barkley, Daniel;University of California, Irvine;2001",Loyola Marymount University
"Barkman, Beryl V.;University of South Carolina;1988",University of Massachusetts
"Barlord, Rav;University of Wisconsin, Madison;1993","University of Wisconsin, Oshkosh"
"Barlow, Tammy;University of Massachusetts;1999",Middlebury College
"Barnes, Bobby;Kansas State University;2002",Mississippi State University
"Barnes, Paul;University of Sheffield;1983",University of Nottingham
"Barnes, Ronnie;University of London;2000",London Business School
"Barness, Zoe;Northwestern University;1996",University of Washington Bothell
"Barnett, Andrew H.;Texas Tech University;1976",San Diego State University
"Barnett, Donald J.;University of California, Los Angeles;1973","California State University, Dominguez Hills"
"Barnett, William R.;University of Chicago;1976",LeMoyne College
"Barnette, Glenn;Rensselaer Polytechnic Institute;1998",Gustavus Adolphus College
"Barnum, Donald;University of Pennsylvania;1973","University of Illinois, Chicago"
"Barone, Charles A.;American College;1978",Dickinson College
"Baroutsis, A. Paul;Purdue University;1972",Slippery Rock University
