faculty,institution
"Landis, Brook I.;Cornell University;1974",York College of Pennsylvania
"Landis, Brook;Cornell University;1974",York College of Pennsylvania
"Landry, Raymond M.;University of Arkansas;1987","University of Texas, Pan American"
"Landry, Suzanne;University of Florida;1998",Universite Laval
"Landsea, William F.;University of Illinois;1966",University of Miami
"Lane, Michael R.;Texas A&M University;1980",Berry College
"Lang, Darla F.;University of Houston;1999",Sam Houston University
"Lang, Dorothy;CUNY;1981","CUNY, College of Staten Island"
"Lang, Kathleen;Boston College;1995",Fairfield University
"Langan, Patrick;University of Iowa;1997",Wartburg College
"Langan, Terence G.;University of Minnesota;1988",University of St Thomas Minnesota
"Lange, Ralph W.;Louisiana State University;1974",Southeastern Louisiana University
"Langford, Hal;Georgia State University;1986","University of Louisiana, Lafayette"
"Langford, Harold P.;Georgia State University;1986",Texas A&M University–Commerce
"Langley, Sonia",Prairie View A&M University
"Langston, Vicky;University of Texas at Austin;1983",Austin Peay State University
"Lanning, Jon;University of Michigan;2006",Albion College
"Lantz, Keith W.;University of Iowa;1975",Auburn University at Montgomery
"Laraqui, Saad;Rutgers University;1998",Embry-Riddle Aeronautical University
"Lardard, Leonard P.;Indiana University;1979",University of Rhode Island
"Larew, Barbara;University of Iowa;1996",Coe College
"Larkin, L. Andrew;University of Nebraska;1982",St. Cloud State University
"Larson, Jay;University of Idaho;1990",Lewis & Clark College
"Larson, Mark D.;Ohio State University;1987",Bloomsburg University of Pennsylvania
"Larson, Raymond L.;University of Oregon;1970",Appalachian State University
"Larsson, Claes-Goran;Umea University;1975",Umea University
"Lashbrooke, Elvin;Michigan State University;1993","University of Nevada, Las Vegas"
"Lasher, Harry J.;Syracuse University;1970",Kennesaw State University
"Lasher, William;Southern Methodist University;1977",Nichols College
"Lasher, William;Southern Methodist University;1979",Nichols College
"Laska, Lewis L.;Peabody;1978",Tennessee State University
"Latham, Jefferson M.;Hofstra University;1975",Adelphi University
"Latif-Zaman, Nazma;Northeastern University",Providence College
"Lau, Chor T.;University of Oregon;1976","California State University, Los Angeles"
"Lau, Richard T.;Louisiana State University;1989","California State University, Los Angeles"
"Launie, Joseph J.;University of California, Los Angeles;1968","California State University, Northridge"
"Laverdiere, Raymond G.;Pennsylvania State University;1982",Norfolk State University
"Laverty, Brian L.;Michigan State University;1984",University of Toledo
"Lawber, Harold E. Jr.;University of Connecticut;1989",Salve Regina University
"Lawrence, Cayce;University of Arkansas;1997",Christian Brothers University
"Lawrence, Clark;Ohio State University;1981",University of Cincinnati
"Lawrence, Leonare;University of Nebraska;1997","University of Wisconsin, La Crosse"
"Lawrence, William;New York University",New York Institute of Technology
"Lawrence, William;New York University;1975",New York Institute of Technology
"Lawson, Michael E.;University of Iowa;1974",Boston University
"Lawson, Stanley J.;New York University;1973",St. John's University
"Lazarcik, Gregor;Columbia University;1960","CUNY, Brooklyn College"
"Lazerus, Scott;University of Utah;1986",Western Colorado University
"Lazerus, Scott;University of Utah;1997",Western Colorado University
"Le, Son V.;Iowa State University;1977","California State University, Long Beach"
"LeBeau, Bryan",University of Missouri–Kansas City
"LeBel, Phillip;Boston University;1977",Montclair State University
"LeClair, Robert T.;Northwestern University;1972",Villanova University
"Leach, Elroy M.;University of Illinois, Chicago;1985",Chicago State University
"Leady, James;University of Michigan;2003",Centre College
"Leary, Carol A.;Virginia Commonwealth University;2000",George Mason University
"Leary, Carol A.;Virginia Commonwealth University;2003",George Mason University
"Leaver, Eric;University of Notre Dame",Kalamazoo College
"Lebar, Mary Ann;New York University;1980",John F. Kennedy University
"Leblebicioglu, Asli;Boston College;2005",North Carolina State University
"Lebsack, Richard;University of Northern Colorado;1976",University of Nebraska at Kearney
"Lebsack, Sandra;University of Northern Colorado;1995",University of Nebraska at Kearney
"Lec, Kangoh;University of Illinois",San Diego State University
"Ledford, Manfred H.;University of Kentucky;1973",University of Miami
"Lee, Baeyong;University of Mississippi",Fayetteville State University
"Lee, Ben B.;New York University;1965",Long Island University
"Lee, Bun Song;Southern Methodist University;1973",Northwestern State University of Louisiana
"Lee, Buryung (Brian);Temple University;1994",Concordia University
"Lee, Buryung;Temple University;1994",Concordia University
"Lee, Chih-Chen;Southern Illinois University;2000",Florida International University
"Lee, Chng-Kuei;University of Pittsburgh;1965",National University of Singapore
"Lee, Choh Chen;Southern Illinois University;2000",Florida International University
"Lee, Christopher;George Mason University;1990",St. Ambrose University
"Lee, Chun-Eui;Sejong;1992",Chosun University
"Lee, Clarence",Howard University
"Lee, Dae Sung;University of Massachusetts;1969",Kentucky State University
"Lee, Daniel T.;University of Florida;1977","University of Texas, Pan American"
"Lee, David S.;Princeton University;1999",Columbia University
"Lee, Dong W.;Ohio State University;2003",University of Kentucky
"Lee, Eok;Claremont McKenna College;1996",University of Queensland
"Lee, Fletcher O.;University of Freiburg;1978",Hong Kong University of Science and Technology
"Lee, Gemma;Vanderbilt University;2006",University of Alabama
"Lee, Gerald D.;University of Mississippi;1973",Mississippi College
"Lee, Gerald R.;University of Mississippi;1973",Mississippi College
"Lee, Hon Sing;Northwestern University;2004",Nanyang Technological University
"Lee, Hoyoung;University of Maryland, College Park;1970",Rochester Institute of Technology
"Lee, Hua;National Taiwan University;2001",University of Windsor
"Lee, Jae Nam;KAIST;1998",City University Hong Kong
"Lee, Jason.;Kent State University;2003","Louisiana State University, Shrevenport"
"Lee, Jonathan;University of South Carolina;1995",Fayetteville State University
"Lee, Jongdoo;George Washington University;2005",West Chester University
"Lee, Joonsuk;University of California, Los Angeles;2006","University of California, Davis"
"Lee, Keun Ho;Columbia University;1990",Northern State University
"Lee, M.",Lancaster University
"Lee, Manwoo;University of Georgia;1987",Korea University
"Lee, Neville S.;University of Pittsburgh",Regis College
"Lee, Phill Sang;Columbia University;1984",Korea University
"Lee, Sang W.;University of Kentucky;2000",Bryant College
"Lee, Shyan-Yuan;Columbia University;1992",National Taiwan University
"Lee, Susan;University of Wisconsin, Madison;2000",Florida State University
"Lee, Tae Hee;University of Illinois;1994",Kookmin University
"Lee, Wei Pang;University of Georgia;1987",Worcester State College
"Lee, Wonsick;University at Buffalo;1990",Central Connecticut State University
"Lee, Y.;Cornell University;2006",Indiana University
"Lee, Yang Hyun;Chung-Ang University;1985",Chung-Ang University
"Leekley, Robert M.;Michigan State University;1974",Illinois Wesleyan University
"Leenaars, Hans;University of Amsterdam;1993",University of Amsterdam
"Leese, David A.;Brandeis University;1975",Mount St. Mary's College 
"Leese, David;Brandeis University;1976",Mount St. Mary's College 
"Leese, Wallace R.;Arizona State University;1978","California State University, Chico"
"Lefevre, Stephen;University of California, Riverside;1975","University of Texas, Tyler"
"Leflar, Charles J. F.;University of Missouri;1995",University of Arkansas
"Lefton, Lester A.",George Washington University
"Leftwich, Howard M.;University of Illinois;1965",University of Cincinnati
"Legault, Michel;Syracuse University;1979",Universite Laval
"Legault, Richard D.;Boston University;1979",University of Massachusetts
"Legler, James;Maryhurst;1996",Wartburg College
"Legler, Jim;Washington State University",Concordia College
"Lehmann, Conni;Texas A&M University;2001","University of Houston, Clear Lake"
"Lehmann, Michael B.;Cornell University;1969",University of San Francisco
"Lehr, David",Longwood University
"Lei, Fitzray;Georgia State University;1997",Tulane University
"Leiber, Frank;University of Geneva;1991",Polytechnic University (New York)
"Leibowitz, Martin A.;Columbia University;1996",Yeshiva University
"Leibowitz, Martin;Columbia University;1996",Yeshiva University
"Leighton, Richard I.;Duke University;1961",Binghamton University
"Leinberger, Gary;Oklahoma State University;1983",Millersville University
"Leitner, Keith R.;Kansas State University;1974","University of Wisconsin, Eau Claire"
"Leiva, Fernando;University of Rochester;2004",University of Iowa
"Lejaunie, John;University of New Orleans;1992",Nicholls State University
"Lelon, Thomas C.;University of Chicago;1973",Nichols College
"Lemelin, Maurice;University of California, Los Angeles",HEC Montreal
"Lemler, Bradley K.;Indiana University;1990",Bethel University (Minnesota)
"Lemon, Gary D.;University of Kansas;1982",DePauw University
"Lemon, Gary Dale;University of Kansas;1982",DePauw University
"Lengan, Patrick;University of Iowa;1997",Wartburg College
"Lenihan, Patrick M.;University of Wisconsin, Madison;1968",Eastern Illinois University
"Lenon, Mary Jane;University of Connecticut;1989",Providence College
"Lenway, Stephanie A.;University of California, Berkeley;1982",University of Minnesota
"Leon, Hyginus;Southampton University;1986",SUNY Old Westbury
"Leon, Hyglus;Southampton University;1986",Brescia University
"Leonard, Frederick H.;University of Michigan;1966",Smith College
"Leonard, Joseph W.;University of Arkansas;1983",Miami University
"Lepak, Gregory;University at Albany;1985",LeMoyne College
"Lephardt, Noreen E.;University of Tennessee;1976",Marquette University
"Leppiniemi, Jarmo;HSE;1985",Helsinki School of Economics
"Leppiniemi, Jarmo;HSEBA;1985",Helsinki School of Economics
"Lerman, Paul;New York University;1974",Fairleigh Dickinson University
"Lerro, Anthony J.;University of Alabama;1964",Stetson University
"Lerville-Anger, Vincent;Paris IX;1986",ESCP Business School
"Lesko, John;Boston College;1992",Bentley College
"Lesser, Mary H.;Fordham University;1982",Iona College
"Lester, Bruce;Massachusetts Institute of Technology;1971",Maharishi University of Management
"Lester, Rick A.;University of Mississippi;1985",University of North Alabama
"Lett, Samuel L.;University of South Carolina;1981",Auburn University at Montgomery
"Leu, Yow-Yuk (Jack);Virginia Polytechnic Institute and State University;1991","California State University, San Marcos"
"Leung, Kwok;University of Maryland, College Park;1999",Catholic University of America
"Leuser, David;University of New Hampshire;1979",Plymouth State University
"Levanoni, Eli;University of Toronto;1981",Brock University
"Levary, Reuven R.;Case Western Reserve University;1978",Saint Louis University
"Lever, Jacqueline;University of Pittsburgh;1982",Albright College
"Levi, Adva Dinur;Temple University;2000",Tulane University
"Levine, Kara;University of Wisconsin, Madison;2004",Washington & Lee University
"Levy, Michael",Georgetown University
"Lewis, Bradley G.;University of Chicago;1983",Union College
"Lewis, Eldon C.;University of Missouri;1967","California State University, San Bernardino"
"Lewis, Eric;Union College;1995",Skidmore College
"Lewis, Jeffrey T.;University of Maryland, College Park;2003",Indiana University of Pennsylvania
"Lewis, Judy D.;University of North Texas;1996",Angelo State University
"Lewis, Lawrence D.;University of Nebraska;1984",Gonzaga University
"Lewis, R. Dean;University of Arkansas;1972",Sam Houston University
"Lewis, R.;University of Arkansas;1972",Sam Houston University
"Lewis, Thomas D.;University of Nebraska;1979",Creighton University
